wastedVol,volume,cutOff,utilization,fTimesLengthSum
7180.700227585931,36536.29977241407,0.19653605516472034,0.8080969546011164,57.043493986712555
7180.700227585931,36536.29977241407,0.19653605516472034,0.8080969546011164,57.043493986712555
3026.6474503090767,32672.35254969092,0.09263634890404329,0.8118768270892325,51.1983061989626
8233.39614181596,32471.60385818404,0.2535568054406663,0.8274583998679539,52.03286282700461
3026.6474503090767,32672.35254969092,0.09263634890404329,0.8118768270892325,51.1983061989626
9665.865904524853,38504.13409547515,0.251034496206493,0.7977944791191653,59.63204039126536
9158.489778566545,29811.510221433455,0.30721321095574367,0.8179978937478013,46.109755527675844
6461.70022758593,36536.29977241407,0.1768569961336012,0.8080969546011164,57.043493986712555
6205.151767792031,36708.848232207965,0.16903695067032082,0.789177423443619,55.76806064057635
7180.700227585931,36536.29977241407,0.19653605516472034,0.8080969546011164,57.043493986712555
9665.865904524853,38504.13409547515,0.251034496206493,0.7977944791191653,59.63204039126536
3977.414558692799,34561.585441307194,0.11508194742533676,0.8213037555920477,55.762593947892434
3486.6474503090767,32672.35254969092,0.10671553096785069,0.8118768270892325,51.1983061989626
8279.489778566545,29811.510221433455,0.2777279553121692,0.8179978937478013,46.109755527675844
3026.6474503090767,32672.35254969092,0.09263634890404329,0.8118768270892325,51.1983061989626
5285.151767792031,36708.848232207965,0.14397487315210541,0.789177423443619,55.76806064057635
3745.6474503090776,32672.35254969092,0.11464272260812487,0.8118768270892325,51.1983061989626
6461.70022758593,36536.29977241407,0.1768569961336012,0.8080969546011164,57.043493986712555
3026.6474503090767,32672.35254969092,0.09263634890404329,0.8118768270892325,51.1983061989626
8233.39614181596,32471.60385818404,0.2535568054406663,0.8274583998679539,52.03286282700461
10384.865904524853,38504.13409547515,0.2697078157575095,0.7977944791191653,59.63204039126536
3486.6474503090767,32672.35254969092,0.10671553096785069,0.8118768270892325,51.1983061989626
3486.6474503090776,32672.35254969092,0.10671553096785072,0.8118768270892325,51.1983061989626
6461.70022758593,36536.29977241407,0.1768569961336012,0.8080969546011164,57.043493986712555
8279.489778566545,29811.510221433455,0.2777279553121692,0.8179978937478013,46.109755527675844
